ID,Movie Name,Year,Timing(min),Rating(10),Genre,Language,Votes
tt3207826,Mullamottum Munthiricharum,2012,-,4.3,Drama            ,malayalam,14
tt1577050,Fired,I 2010,87 min,4.4,Horror            ,hindi,260
tt0225515,Dillagi,1999,188 min,5.3,"Drama, Musical, Romance            ",hindi,1068
tt13606792,Nesi,2009,-,-,Drama            ,tamil,-
tt1530891,Kaana Kanmani,2009,132 min,4.4,"Drama, Horror            ",malayalam,106
tt0186871,Bhagwaan Dada,1986,147 min,4.3,"Drama, Thriller            ",hindi,167
tt10919164,A 2nd Hand Lover,2015,135 min,-,Romance            ,kannada,-
tt2791100,Sampoorna Sant Darshanam,1978,-,-,Drama            ,hindi,-
tt0273446,Avar Enakke Sontham,1977,66 min,-,-,tamil,-
tt1986813,Dharti ke God Mein,1971,-,-,Drama            ,hindi,-
tt1449278,Valar Pirai,1962,-,-,-,tamil,-
tt11086844,Shaitaan: A Vision of Madness,2018,65 min,-,Thriller            ,hindi,-
tt13724328,Haaru Hakkiyaneri,2010,-,-,Drama            ,kannada,-
tt0259494,Payal Ki Jhankar,1968,132 min,4.4,"Action, Adventure, Comedy            ",hindi,12
tt3417786,Juniors,2003,-,5.2,Romance            ,telugu,13
tt0299078,Palkon Ki Chhaon Mein,1977,127 min,7.5,"Drama, Romance            ",hindi,65
tt0384918,Dil Ka Sathi Dil,1982,-,6.7,Romance            ,hindi,18
tt3454974,Mounamelanoyi,2002,154 min,6.7,Romance            ,telugu,16
tt0032951,Punar Milan,1940,-,-,"Drama, Romance            ",hindi,-
tt5281434,Maa Shakti,2002–2003,-,8.4,History            ,malayalam,15
tt11766304,Let's Break Up,2020,-,-,-,kannada,-
tt7831920,HIRER SHIKAL,1988,126 min,-,"Drama, Romance            ",bengali,-
tt6917966,Mohanlal,2018,150 min,4.5,Comedy            ,malayalam,507
tt0038475,Dharti Ke Lal,1950,125 min,6.4,"Drama, History            ",hindi,16
tt8925172,Angadipattu,2018– ,23 min,-,Comedy            ,malayalam,-
tt1092005,Golmaal Returns,2008,135 min,5.1,"Comedy, Crime, Mystery            ",hindi,7115
tt4003012,The Journey Within,2015,78 min,7,"Documentary, Music            ",oriya,35
tt0305692,Janma Bhoomi,1995,-,8,Drama            ,nepali,6
tt7971756,Inspector Gullu,2018,124 min,6.8,Action            ,hindi,32
tt1857670,Deiva Thirumagal,2011,166 min,8.1,Drama            ,tamil,4954
tt5267296,Aaj Ka Inteqaam,1991,-,-,Thriller            ,hindi,-
tt2713666,Tuch Khari Gharchi Laxmi,2011,115 min,-,Drama            ,marathi,-
tt4384242,Pataas,2015,127 min,6.7,"Action, Comedy            ",telugu,758
-,Ram,2022,-,-,"Action, Crime, Thriller            ",malayalam,-
tt0390271,Monagadu,1976,151 min,-,"Crime, Drama            ",telugu,-
tt0091320,Kala Dhanda Goray Log,1986,158 min,5.7,"Drama, Family            ",hindi,35
tt7817140,Vishwaguru,2017,-,-,Biography            ,malayalam,-
tt10964430,Thappad,I 2020,142 min,6.8,Drama            ,hindi,14626
tt1351669,Talentime,2009,120 min,6.8,Drama            ,tamil,183
tt8298414,Maan Bhi Jao Sanam,2018 TV Movie,49 min,-,Comedy            ,urdu,-
tt4899880,Shah,2015,109 min,8.5,"Biography, Drama, Sport            ",urdu,1392
tt13004148,Harsha Varsha Jayaraj,2020,-,8,"Short, Comedy            ",malayalam,6
tt1268309,Yeh Kaise Hua,1984,-,-,-,urdu,-
tt0271949,Adavukal Pathinettu,1978,-,-,-,malayalam,-
tt0254181,Bhale Papa,1971,-,-,-,telugu,-
tt0243513,Raakhi Ki Saugandh,1979,-,-,"Action, Crime, Drama            ",hindi,-
tt12258568,Khara Varasdar,1986,-,-,Drama            ,marathi,-
tt1645102,Lakhon Fasane,1961,-,-,Drama            ,urdu,-
-,Vallam Kali,,86 min,-,Documentary            ,malayalam,-
tt2334779,Qissa: The Tale of a Lonely Ghost,2013,109 min,6.7,"Drama, Fantasy, Horror            ",punjabi,896
tt8364128,Amma I Love You,2018,147 min,7.4,Drama            ,kannada,55
tt8665904,Kahi Katai,2018,-,-,Family            ,nepali,-
tt11292062,Adhiktam,2020,45 min,-,"Action, Comedy            ",hindi,-
tt0259479,Oru Vasantha Geetham,1994,-,4.7,-,tamil,9
tt0248112,Ishq Ishq,1977,-,3.4,Musical            ,urdu,23
tt13666960,Aata Hoti Geli Kuthe,1991,-,-,Comedy            ,marathi,-
tt3415566,123,2002,127 min,5.7,Comedy            ,telugu,59
tt0347920,Saajan Ki Saheli,1981,-,5.5,"Family, Drama            ",hindi,44
tt8933650,Chanakya,2019,147 min,5.4,"Action, Adventure, Thriller            ",malayalam,492
