,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
tt0092049,Tan-Badan,1986,115 min,5.1,37,Drama            ,hindi
tt5625458,Miss Priyambada,1967,93 min,7.1,12,Romance            ,bengali
tt0060306,Devar,1966,156 min,7.2,81,"Crime, Drama, Romance            ",hindi
tt9059202,Kuch Der Aur,2018,65 min,8.5,41,Drama            ,hindi
tt1408029,Krantiveer: The Revolution,2010,159 min,4.6,19,"Action, Crime, Drama            ",hindi
tt8983164,Chhalaang,2020,136 min,6.4,4554,Comedy Drama            ,hindi
tt9176102,Tuesdays and Fridays,2021,106 min,4.5,407,"Comedy, Musical, Romance            ",hindi
tt0093578,Mr. India,1987,179 min,7.8,14265,Action Comedy Drama            ,hindi
tt0305367,Chukkan,1994,158 min,5,23,Drama            ,malayalam
tt5940384,Bilu: A demon within,2017,128 min,7.1,133,"Drama, Fantasy            ",bengali
tt4846906,Leather Life,2015,118 min,6.5,10,Drama            ,punjabi
tt0226786,Hum Tum Pe Marte Hain,1999,165 min,5.3,483,"Comedy, Drama, Romance            ",hindi
tt3958596,Borbaad,2014,140 min,5.4,197,"Action, Drama, Romance            ",bengali
tt0277624,Champion Thomas,1990,107 min,5.6,8,Comedy            ,malayalam
tt0366993,Saanjhbatir Roopkathara,2002,120 min,6.2,145,"Drama, Family            ",bengali
tt0464800,Darshan: The Embrace,2005,92 min,6.4,184,Documentary            ,malayalam
tt5304172,Har Har Byomkesh,2015,113 min,6.8,852,"Action, Thriller            ",bengali
tt4920258,Armaan,2013,140 min,6.8,43,"Comedy, Drama, Romance            ",oriya
tt1649435,Vinayakudu,2008,133 min,7.2,79,"Comedy, Romance            ",tamil
tt10083986,Bhinna,2019,95 min,7.4,28,Thriller            ,kannada
tt2958972,Anokha Aspatal,1989,91 min,6.8,12,Comedy            ,hindi
tt0375705,Dhill,2001,158 min,7,789,"Action, Drama            ",tamil
tt2064816,I Me aur Main,2013,108 min,4.6,1807,Comedy Drama Musical            ,hindi
tt4504934,Envazhi Thani Vazhi,2015,130 min,3.4,19,Action            ,tamil
tt3563080,Saya E Khuda E Zuljalal,2016,105 min,6.9,129,"Action, Drama, History            ",urdu
tt6471054,Ajji,2017,104 min,6.9,939,Drama            ,hindi
tt1579772,Golmaal,2003,130 min,7,595,Comedy            ,telugu
tt0410521,"Right Here, Right Now",2003,28 min,7.9,209,"Short, Comedy, Drama            ",malayalam
tt0069152,Raaste Kaa Patthar,1972,133 min,5.7,83,"Drama, Romance            ",hindi
tt0449306,Lucky: No Time for Love,2005,180 min,4.7,3276,Musical Drama Romance            ,hindi
tt0080982,Kalyug,1981,152 min,7.8,493,Drama            ,hindi
tt13507408,Theeviram,2020,108 min,5.5,22,"Drama, Thriller            ",tamil
tt0156695,Kavi,1949,151 min,7.5,10,Drama            ,bengali
tt8634328,Asees,2018,127 min,7.5,191,Drama            ,punjabi
tt4869678,Superstar Kidnap,2015,120 min,6.6,631,Thriller            ,telugu
tt1430096,Kutty Srank: The Sailor of Hearts,2009,127 min,7,494,Drama            ,malayalam
tt4701664,Thiranthidu Seese,2015,123 min,6.5,26,"Drama, Thriller            ",tamil
tt0105866,Yalgaar,1992,192 min,5.4,413,"Action, Drama, Thriller            ",hindi
tt0376787,Naani,2004,155 min,5.3,1150,Romance            ,telugu
tt0243447,Nausherwan-E-Adil,1957,137 min,6.4,17,"Action, Adventure, Drama            ",oriya
tt2387495,Jalpari: The Desert Mermaid,2012,94 min,7.1,371,"Drama, Family, Mystery            ",hindi
tt11038702,Dandam,2019,150 min,8.1,15,Action            ,marathi
tt4898962,Oru Naal Iravil,2015,134 min,6.8,143,"Drama, Thriller            ",tamil
tt2615584,Phata Poster Nikhla Hero,2013,146 min,4.8,4423,Action Comedy            ,hindi
tt0242314,Billoo Baadshah,1989,148 min,4.6,39,"Action, Crime, Drama            ",hindi
tt7085078,Prem Geet 2,2017,138 min,7.4,113,"Drama, Romance            ",nepali
tt0929764,Istam,2001,150 min,5.8,37,Romance            ,telugu
tt6975084,Tomake Chai,2017,121 min,5.3,91,Romance            ,bengali
tt2042607,Nam Naadu,2007,160 min,4,18,"Action, Crime, Drama            ",tamil
tt3417422,Drishyam,2013,160 min,8.3,34691,Crime Drama Thriller            ,malayalam
tt3522722,Kaalai,2008,128 min,3.3,113,Action            ,tamil
tt0157899,Kirayadar,1986,146 min,6.3,75,"Comedy, Drama            ",hindi
tt5293388,Panaah,2015,15 min,7.6,11,"Short, Crime, Drama            ",urdu
tt2871010,Sonali Cable,2014,127 min,5.4,970,"Comedy, Drama            ",hindi
tt1159917,Bombay to Bangkok,2008,120 min,4.6,415,"Comedy, Crime, Romance            ",hindi
tt1851841,Aaghaat,2010,130 min,8,39,Drama            ,marathi
tt2230440,Aiven Raula Pai Gaya,2012,153 min,5.4,102,"Comedy, Drama, Musical            ",punjabi
tt8908048,Son Of Manjeet Singh,2018,139 min,7.8,255,"Comedy, Drama, Sport            ",punjabi
tt0158574,Dahleez,1986,161 min,5.3,50,"Action, Drama            ",hindi
tt4171600,Chhota Bheem in the Incan Adventure,2013,65 min,6.5,22,"Animation, Adventure, Fantasy            ",telugu
tt0897374,Munna,2007,167 min,5.6,863,Action            ,telugu
tt7030172,Bhanta,2008,154 min,7.1,8,Drama            ,kannada
tt0156444,Daal Me Kala,1964,128 min,6,21,"Comedy, Drama            ",hindi
tt0361796,Khatarnaak,1990,223 min,5.3,80,"Action, Crime, Drama            ",hindi
tt0060444,Gaban,1966,169 min,6.9,39,"Crime, Drama, Romance            ",bhojpuri
tt10465524,A Gift of Love: Sifar,2019,95 min,8,29,"Drama, Romance            ",hindi
